plate,lat,lon
an,-47.773,-113.131
an,-48.324,-113.315
an,-48.841,-113.528
an,-49.357,-113.745
an,-49.849,-113.875
an,-49.721,-114.556
an,-49.589,-115.233
an,-49.367,-116.388
an,-49.893,-116.802
an,-50.418,-117.225
an,-50.875,-117.522
an,-51.331,-117.824
an,-51.772,-118.12
an,-52.212,-118.422
an,-52.752,-118.875
an,-52.897,-118.977
an,-53.124,-117.661
an,-53.691,-118.037
an,-54.35,-118.313
an,-54.819,-118.581
an,-54.642,-119.685
an,-54.41,-120.663
an,-55.219,-121.228
an,-55.832,-121.635
an,-56.026,-121.862
an,-55.873,-122.655
an,-55.715,-123.442
an,-55.587,-124.262
an,-55.454,-125.077
an,-55.138,-126.197
an,-55.064,-126.8
an,-55.565,-127.231
an,-55.322,-128.624
an,-55.129,-129.345
an,-54.931,-130.059
an,-54.623,-131.375
an,-54.432,-132.126
an,-54.237,-132.87
an,-53.887,-134.205
an,-53.643,-135.307
an,-53.396,-136.18
an,-53.907,-136.59
an,-53.688,-137.522
an,-53.568,-137.89
an,-54.141,-138.338
an,-54.712,-138.799
an,-55.251,-139.253
an,-55.615,-139.578
an,-55.725,-139.191
an,-56.268,-139.545
an,-56.772,-140.041
an,-57.053,-140.325
an,-56.839,-141.211
an,-56.619,-142.086
an,-56.263,-143.324
an,-55.91,-144.482
an,-55.784,-144.857
an,-56.228,-145.412
an,-56.669,-145.979
an,-57.308,-146.681
an,-57.638,-147.167
an,-57.555,-147.692
an,-58.13,-148.276
an,-58.822,-149.264
an,-59.314,-149.809
an,-59.718,-150.382
an,-59.469,-151.329
an,-60.157,-152.119
an,-60.841,-152.943
an,-61.399,-153.661
an,-61.836,-154.181
an,-61.776,-154.324
an,-62.433,-155.254
an,-62.953,-156.022
an,-63.324,-156.717
an,-63.07,-157.601
an,-62.788,-158.394
an,-63.004,-158.703
an,-62.595,-159.888
an,-62.923,-160.43
an,-62.614,-161.338
an,-62.394,-162.061
an,-62.968,-163.001
an,-63.467,-163.921
an,-63.007,-165.149
an,-62.606,-166.199
an,-62.49,-166.608
an,-63.106,-167.513
an,-63.73,-168.379
an,-64.245,-169.109
an,-64.764,-169.839
an,-64.859,-170.043
an,-64.356,-171.3
an,-64.978,-172.517
an,-65.506,-173.709
an,-65.835,-174.418
an,-65.505,-175.07
an,-65.183,-175.729
an,-65.607,-177.072
an,-65.862,-177.926
an,-66.163,-178.793
an,-65.986,-179.197
an,-65.739,179.963
an,-65.477,179.381
an,-65.274,178.759
an,-65.079,178.24
an,-64.975,177.889
an,-64.736,177.338
an,-64.506,176.819
an,-64.41,176.549
an,-64.188,176.063
