,0
TAXI_OUT,1.0
DAY_OF_MONTH,-0.02398983842958637
DAY_OF_WEEK,0.02838797817681738
DEP_DELAY,0.0841872506077756
DISTANCE,0.05985618394914407
DEP_TIME_M,0.05789604987874553
CRS_ARR_M,0.07137658705130531
Temperature,-0.06757360681573146
Dew Point,0.010215583490493804
Humidity,-0.026826101459214664
Wind Speed,0.06252249800357859
Wind Gust,0.09005078674957075
Pressure,-0.05929016243208371
sch_dep,0.19010138449850403
sch_arr,0.06428427203944907
OP_UNIQUE_CARRIER_AA,-0.016775304868397817
OP_UNIQUE_CARRIER_AS,0.13670725870934272
OP_UNIQUE_CARRIER_B6,-0.1338692231074784
OP_UNIQUE_CARRIER_DL,0.0666078761727002
OP_UNIQUE_CARRIER_HA,-0.006014953538849411
OP_UNIQUE_CARRIER_MQ,0.01172442470909606
OP_UNIQUE_CARRIER_OO,-0.003235710877259215
OP_UNIQUE_CARRIER_YX,0.022432858451613472
DEST_ATL,-0.038976599722590044
DEST_AUS,-0.031157515592522927
DEST_BNA,-0.019141095599269825
DEST_BOS,-0.019822780049114495
DEST_BQN,-0.022108844338321592
DEST_BTV,-0.027986404916294807
DEST_BUF,-0.030800741638159965
DEST_BUR,-0.01682711691776546
DEST_BWI,-0.022015955898281543
DEST_CHS,-0.014975804702268232
DEST_CLE,0.011596190067576938
DEST_CLT,-0.023882756455646078
DEST_CMH,-0.003935108442442916
DEST_CVG,-0.027526842675315612
DEST_DCA,8.496182362866214e-05
DEST_DEN,0.021951549366332382
DEST_DFW,-0.004261560316036144
DEST_DTW,0.009571929010659785
DEST_EGE,-0.01475736787221009
DEST_FLL,0.022838822413967123
DEST_HNL,-0.004824326793943593
DEST_IAD,-0.00985696776538047
DEST_IAH,-0.018932950447012317
DEST_IND,-0.010929199517596182
DEST_JAC,0.0014254145440049126
DEST_JAX,0.0011521400889124324
DEST_LAS,2.625509298329295e-06
DEST_LAX,0.0163239567611386
DEST_LGB,-0.028868637569325905
DEST_MCO,-0.023210580236176843
DEST_MIA,0.03272962676725417
DEST_MSP,0.023030030343100298
DEST_MSY,-0.03654927909243548
DEST_OAK,0.011749294983958616
DEST_ONT,-0.00860352498509683
DEST_ORD,0.02291350705071481
DEST_ORF,0.03537034952138219
DEST_ORH,-0.01781408069920693
DEST_PBI,-0.01770136010767737
DEST_PDX,0.04288827021046896
DEST_PHL,0.014255707751602833
DEST_PHX,0.011451564162672281
DEST_PIT,0.016148223631589548
DEST_PSE,0.0047793081728837224
DEST_PSP,-0.0036090248606670317
DEST_PWM,0.014879143119152905
DEST_RDU,-0.002974281360449956
DEST_RIC,0.02023774422269047
DEST_RNO,0.010874481915794258
DEST_ROC,-0.0008151931055062143
DEST_RSW,-0.02166946619134473
DEST_SAN,0.013696698183630718
DEST_SAT,-0.021698583436618915
DEST_SAV,-0.020426400530333375
DEST_SEA,0.057511734059756986
DEST_SFO,0.038912292236159315
DEST_SJC,0.033376394068060034
DEST_SJU,0.0047766288107169525
DEST_SLC,0.01446962646356167
DEST_SMF,-0.015440232962051634
DEST_SRQ,-0.008501821398749694
DEST_STT,0.03932273426662912
DEST_SYR,0.001317282709103962
DEST_TPA,-0.019411651092869037
Wind_E,0.012386504612794341
Wind_ENE,0.06806215124226475
Wind_ESE,0.01441041218148901
Wind_N,-0.008004371093930495
Wind_NE,0.02622586990575188
Wind_NNE,0.012906028853599002
Wind_NNW,-0.02922167671572136
Wind_NW,0.010868105134824717
Wind_S,0.01505120204251838
Wind_SE,-0.017936930652600904
Wind_SSE,0.0005138603544477032
Wind_SSW,-0.011112581592073494
Wind_SW,-0.028032952768838267
Wind_VAR,-0.019987873090170163
Wind_W,-0.004390812319427843
Wind_WNW,0.033521323396297396
Wind_WSW,-0.05553890474692476
Condition_Cloudy / Windy,0.001790324355689755
Condition_Drizzle and Fog,0.022573155031670414
Condition_Fair,-0.04148671457639743
Condition_Fair / Windy,0.010780364788407144
Condition_Fog,0.04292263576988754
Condition_Fog / Windy,-0.01788673763166356
Condition_Heavy Rain,0.03906910316949366
Condition_Heavy Rain / Windy,-0.010583419334207166
Condition_Light Drizzle,0.009626529381143329
Condition_Light Drizzle / Windy,0.030109822825980067
Condition_Light Freezing Rain,0.015718925737667453
Condition_Light Rain,0.05232052580909864
Condition_Light Rain / Windy,0.05583848769679893
Condition_Light Snow,0.06959041868356464
Condition_Light Snow / Windy,0.02570088564720614
Condition_Mostly Cloudy,-0.03825303057660797
Condition_Mostly Cloudy / Windy,0.02657148926083051
Condition_Partly Cloudy,-0.011867379552372971
Condition_Partly Cloudy / Windy,0.04029659028676454
Condition_Rain,0.051139356640231726
Condition_Rain / Windy,0.015229500806180093
Condition_Snow,0.01719380476380106
Condition_Wintry Mix,0.06593691437279994
Condition_Wintry Mix / Windy,0.03119465966605088
